"year","parameter","site_no","val"
"2018","62619","01306402",1.50657534246575
"2018","62619","01309225",1.44545205479452
"2018","62619","01310521",1.35131506849315
"2018","62619","01310740",1.2652602739726
"2018","62619","01311143",1.54243835616438
"2018","62619","01311145",1.11449315068493
"2018","62619","01311850",1.12104109589041
"2018","62619","01311875",1.16419178082192
"2018","62619","01376562",1.37104109589041
"2018","63680","01304200",8.00651465798046
"2018","63680","01304562",2.72044728434505
"2018","63680","01310740",5.43644578313253
"2018","63680","01311143",3.82843450479233
"2018","63680","01311875",2.50248447204969
"2018","90860","01302250",24.9468531468531
"2018","90860","01302845",24.0452777777778
"2018","90860","01304200",28.9834375
"2018","90860","01304562",25.3349253731343
"2018","90860","01306402",25.5723287671233
"2018","90860","01310740",30.7866242038217
"2018","90860","01311143",29.0375
"2018","90860","01311875",28.1713414634146
"2019","00010","01302250",14.1047477744807
"2019","00010","01302845",12.8380821917808
"2019","00010","01304200",13.4373177842566
"2019","00010","01304562",14.2622857142857
"2019","00010","01306402",13.6756164383562
"2019","00010","01310740",13.1808864265928
"2019","00010","01311143",13.4563176895307
"2019","00300","01304200",9.1641196013289
"2019","00300","01304562",8.186
"2019","00300","01310740",9.00249307479224
"2019","00300","01311143",9.20036101083032
"2019","62361","01304562",18.3194285714286
"2019","62361","01310740",9.603591160221
"2019","62619","01302250",4.02218120805369
"2019","62619","01302600",2.32798107255521
"2019","62619","01302845",1.55550684931507
"2019","62619","01304057",2.21257668711656
"2019","62619","01304200",1.07446575342466
"2019","62619","01304562",1.00424657534247
"2019","62619","01304746",1.19742465753425
"2019","62619","01304920",1.32671232876712
"2019","62619","01305575",1.37372602739726
"2019","62619","01306402",1.60331506849315
"2019","62619","01309225",1.55002739726027
"2019","62619","01310521",1.45854794520548
"2019","62619","01310740",1.40112328767123
"2019","62619","01311143",1.71815642458101
"2019","62619","01311145",1.21895890410959
"2019","62619","01311850",1.24843835616438
"2019","62619","01311875",1.26991758241758
"2019","62619","01376562",1.42753424657534
"2019","63680","01304200",4.5685393258427
"2019","63680","01304562",2.98742857142857
"2019","63680","01310740",4.55913043478261
"2019","63680","01311143",3.99115044247788
"2019","90860","01302250",24.1391437308869
"2019","90860","01302845",22.7292957746479
"2019","90860","01304200",28.2247706422018
"2019","90860","01304562",24.2582857142857
"2019","90860","01306402",25.2660273972603
"2019","90860","01310740",30.0701449275362
"2019","90860","01311143",28.5694029850746
